,id,name,cost,position,home_team,away_team,kickoff_time,is_home
103,515,Keane Lewis-Potter,55,MID,Leicester,Brentford,2022-08-07T13:00:00Z,False
104,517,Thomas Strakosha,45,GKP,Leicester,Brentford,2022-08-07T13:00:00Z,False
105,526,Ben Mee,45,DEF,Leicester,Brentford,2022-08-07T13:00:00Z,False
106,101,Adam Lallana,50,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
107,102,Jason Steele,40,GKP,Man Utd,Brighton,2022-08-07T13:00:00Z,False
108,103,Danny Welbeck,65,FWD,Man Utd,Brighton,2022-08-07T13:00:00Z,False
109,104,Pascal Groß,55,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
110,105,Shane Duffy,45,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
111,106,Lewis Dunk,45,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
112,107,Solly March,50,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
113,108,Adam Webster,45,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
114,109,Joël Veltman,45,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
115,110,Neal Maupay,65,FWD,Man Utd,Brighton,2022-08-07T13:00:00Z,False
116,111,Leandro Trossard,65,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
117,112,Marc Cucurella Saseta,50,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
118,113,Robert Sánchez,45,GKP,Man Utd,Brighton,2022-08-07T13:00:00Z,False
119,114,Tariq Lamptey,45,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
120,115,Steven Alzate,45,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
121,116,Alexis Mac Allister,55,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
122,117,Jakub Moder,45,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
123,118,Enock Mwepu,55,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
